NAME:,walk_1_1.csv,,
EXPERIMENT TIME:,22-05-22 20:00,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,113,,
   ,,,
Time [sec],ACC X,ACC Y,ACC Z
63.04,-4.2,8.75,2.12
63.078,-4.39,9.02,2.12
63.115,-5.06,10.08,2.94
63.154,-5.57,11.1,2.9
63.192,-4.04,10.43,4.79
63.231,-3.22,12.94,9.53
63.269,-1.22,8.59,6.43
63.307,-2.24,8,5.53
63.344,-4.63,6.08,5.33
63.382,-5.33,5.45,4.31
63.419,-0.75,7.18,6.28
63.457,-1.92,6.51,2.86
63.494,-2,4.08,3.1
63.532,-3.49,3.8,2.9
63.569,-7.65,6.55,1.92
63.607,-3.8,10.2,1.06
63.645,-5.96,6.98,3.49
63.683,-4.55,9.92,4.43
63.72,-6.32,10.98,5.3
63.759,-7.77,10.2,5.1
63.797,-7.02,9.57,8.08
63.835,-6.08,6.9,8.32
63.872,8.63,-0.35,12.4
63.911,-5.41,7.34,7.69
64.061,-3.14,4.59,2.16
64.098,-0.27,4.55,1.65
64.136,-1.06,5.49,0
64.173,-4.31,7.57,-0.24
64.212,-6.43,9.96,3.45
64.249,-6.59,13.89,6.86
64.288,-6.83,12.67,1.8
64.326,-2.08,13.02,7.1
64.365,-1.96,7.88,8.47
64.403,-2.31,6.08,5.84
64.44,-5.1,6.24,2.67
64.478,-2.71,6.2,2.43
64.628,-4.47,4.24,3.88
64.665,-2.47,8.24,11.14
64.704,-11.02,8.59,3.88
64.742,-4.04,8.94,4.43
64.78,-6.98,10.87,2.79
64.818,-8.04,10.98,5.37
64.857,-4.12,6.63,9.65
64.894,-0.47,6.59,7.34
64.932,-4.71,10.79,2.59
64.97,-8.39,10.71,8.28
65.009,-3.69,6.59,5.81
65.046,-3.57,5.37,0.98
65.084,-5.81,4.63,2.28
65.427,-2.82,5.53,4.12
65.465,-4.94,4.08,-0.39
65.504,-0.08,7.18,5.88
65.541,-3.3,8.75,7.73
65.579,-1.96,5.1,3.45
65.616,-3.49,3.1,1.06
65.654,-7.06,4.12,1.77
65.691,-9.81,14.67,-11.77
65.732,-5.61,6.9,7.26
65.769,-5.96,8.9,4.31
65.807,-9.34,9.34,0.86
65.958,-5.37,9.65,7.41
65.995,-7.22,9.02,8.16
66.033,-3.41,6.55,3.69
66.07,-3.73,5.26,1.84
66.108,-4.35,3.84,0.27
66.145,-2.86,4.82,0.9
66.183,-3.57,7.96,1.49
66.22,-4.55,7.81,0.55
66.258,-6.9,7.77,1.1
66.295,-7.49,12.87,6
66.334,-7.45,13.77,3.41
66.372,-5.81,13.49,6.55
66.411,-3.37,7.73,7.88
66.448,-3.37,5.1,4.75
66.486,-3.65,5.18,3.65
66.673,-4.67,4.31,2.82
66.711,-6.2,5.18,3.1
66.748,-6.43,8,4.28
66.786,-5.1,9.06,4.04
66.823,-7.81,9.92,4.16
66.861,-9.49,10.32,1.88
66.899,-5.41,9.26,7.65
66.937,-2.31,6.63,8.98
66.974,-1.29,8.24,5.14
67.012,-8,11.38,6.98
67.05,-5.06,7.49,8.71
67.164,-4.39,4.82,0.9
67.276,-4.98,7.49,0.67
67.314,-7.92,10.04,3.61
67.353,-7.34,14.08,5.88
67.391,-5.73,12.16,4.71
67.43,-2.94,11.61,14.79
67.469,-2.71,5.49,5.22
67.507,-4.98,4.86,0.78
67.544,-3.22,4.98,2.43
67.582,0.78,8.63,5.84
67.618,-4.59,7.3,7.02
67.656,-1.65,2.63,1.84
67.693,-4.51,3.57,1.69
67.731,-8.87,8.16,-10
67.846,-6.79,9.06,3.53
67.884,-10.28,10.2,2.94
67.923,-4.82,7.69,9.53
67.961,1.06,6.2,10.12
67.998,-3.49,8.75,6.04
68.036,-6.98,10,7.96
68.074,-3.84,6.32,4.24
68.112,-4.35,6.08,1.14
68.149,-5.02,4.98,1.65
