"NAME:","walk_5_1.csv"
"EXPERIMENT TIME:","25-05-22 15:16"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.001",".90","-7.37","1.41"
"0.234",".14","-7.49","2.04"
"0.236",".02","-7.06","1.65"
"0.238",".06","-6.86","1.29"
"0.239",".86","-6.90","1.37"
"0.241",".45","-6.79","1.26"
"0.243",".10","-7.14","1.53"
"0.245",".94","-7.10","1.33"
"0.247",".22","-6.90","1.33"
"0.475",".14","-6.86","1.53"
"0.477",".82","-6.79","1.10"
"0.479",".86","-6.79","1.14"
"0.48",".02","-7.10","1.45"
"0.482",".02","-7.30","1.41"
"0.484",".73","-7.22","1.65"
"0.485",".51","-6.67","2.63"
"0.488",".94","-6.32","3.96"
"0.718",".00","-6.59","0.04"
"0.72",".12","-10.04","0.78"
"0.722",".59","-10.79","0.75"
"0.723",".39","-10.04","0.51"
"0.725",".22","-8.98","-0.82"
"0.743",".27","-8.36","1.10"
"0.765",".61","-7.85","0.98"
"1.068",".24","-9.10","0.67"
"1.072",".84","-8.67","1.77"
"1.076",".39","-7.14","1.18"
"1.08",".14","-5.22","0.43"
"1.084",".92","-5.81","0.27"
"1.089",".45","-4.94","0.20"
"1.097",".47","-5.33","1.69"
"1.357",".08","-6.16","2.43"
"1.358",".94","-7.49","4.31"
"1.36",".65","-9.41","3.69"
"1.361",".77","-8.71","5.02"
"1.363",".24","-5.57","4.98"
"1.365",".73","-9.18","8.51"
"1.367",".10","-12.40","4.35"
"1.369","0.63","-14.28","0.55"
"1.37","1.61","-10.87","1.41"
"1.373",".41","-6.94","1.14"
"1.603",".65","-6.00","-1.53"
"1.605",".59","-8.79","-0.55"
"1.607",".71","-7.77","1.45"
"1.613",".14","-6.79","1.10"
"1.615","0.55","-7.77","2.39"
"1.617",".57","-6.98","2.39"
"1.618",".49","-5.14","0.75"
"1.62",".61","-5.81","0.82"
"1.622",".53","-5.30","1.45"
"1.852",".84","-5.18","1.92"
"1.86",".30","-5.57","2.82"
"1.862",".84","-6.43","2.75"
"1.863",".39","-6.79","0.90"
"1.864","6.94","-6.28","0.16"
"1.866","6.28","-7.41","4.35"
"1.867",".06","-12.28","5.57"
"2.098",".45","-9.96","-3.30"
"2.102",".65","-11.53","-1.37"
