NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,24/05/2022 15:45,,
ACTIVITY TYPE:,Walking,,
Count of actual steps:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
235.51,6.83,5.81,4.94
235.56,6.9,5.73,4.98
235.61,6.55,6,4.86
235.66,6.47,5.96,4.75
235.72,6.39,6.12,4.79
235.77,6.71,6.08,4.63
235.82,6.75,6.08,4.71
235.87,7.22,6,4.94
235.92,7.14,6.32,4.75
235.97,6.24,6.24,4.9
236.02,6.16,6.59,4.98
236.07,6.04,6.08,5.1
236.12,6.24,6.04,5.26
236.18,6.43,5.65,5.26
236.23,6.51,5.65,5.22
236.28,6.43,5.84,5.3
236.33,6.39,5.81,5.84
236.38,6.39,5.45,6.12
236.43,5.69,5.37,6.28
236.48,5.18,6,6.35
236.53,5.92,6.43,6
236.58,6,6.16,5.81
236.63,5.84,6.16,5.88
236.68,6,5.96,5.77
236.74,6.32,6.71,6.35
236.79,7.41,6.86,6.75
236.84,8.08,6.9,6.98
236.89,8.59,7.06,6.75
236.94,10,6.94,6.35
236.99,9.53,5.45,4.82
237.04,7.26,4.63,4.12
237.09,6.39,4.39,4.08
237.14,5.96,3.92,3.84
237.2,4.94,3.69,3.96
237.25,4.63,3.73,4.43
237.3,4.9,3.18,4.75
237.35,6.47,4.39,6.28
237.4,8.83,5.26,8.04
237.45,10.2,5.69,9.38
237.5,8.36,5.41,9.53
237.55,8.24,6.08,8.67
237.6,9.06,5.69,7.57
237.65,7.88,3.45,5.41
237.71,6.2,1.84,4.43
237.76,5.61,1.41,3.96
237.81,4.98,2.63,4.71
237.86,4.67,2.08,4.94
237.91,5.26,3.73,6.43
237.96,5.61,4.51,6.63
238.01,6.2,6.43,7.88
238.06,6.47,6.67,8.79
238.11,5.88,6.86,12.16
238.16,8.83,7.18,10.4
238.21,9.65,7.53,6.71
238.27,8.55,6.12,3.53
238.32,5.26,4.47,3.1
238.37,4.16,2.51,5.49
238.42,5.96,4.63,6.67
238.47,4.59,6.55,3.26
238.52,4.24,6.71,2.31
238.57,4.75,6.98,3.49
238.62,6.51,7.06,6.55
238.67,7.41,9.41,4.71
238.73,6.83,9.38,5.96
238.78,9.69,8.63,4.98
238.83,9.22,10.79,1.8
238.88,7.57,8,1.37
238.93,7.92,5.02,2.63
238.98,6.67,3.53,6.67
239.03,5.96,3.73,5.81
239.08,4.16,4.12,3.96
239.13,3.73,3.3,4.67
239.18,3.77,3.02,6.16
239.24,5.49,3.8,8.12
239.29,6.9,6.16,8.71
239.34,8.28,7.1,10.47
239.39,11.18,9.22,7.69
239.44,8.94,7.57,4.63
239.49,7.02,5.33,1.92
239.54,5.3,3.88,2.24
239.59,6.9,4,4.35
239.64,6.24,3.26,6.86
239.69,5.45,4.39,4.86
239.74,5.26,5.33,3.45
239.8,6.2,5.33,4.24
239.85,6.24,5.06,8.43
239.9,8.08,6.32,5.92
239.95,8.51,8.16,4.82
240,11.89,6.43,4.71
240.05,9.02,8.79,2.51
