NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,22-05-22 20:02,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,116,,
   ,,,
Time [sec],ACC X,ACC Y,ACC Z
221.194,-2.47,8.32,3.49
221.382,-4.67,8.9,1.84
221.42,-3.73,8.63,1.84
221.457,-3.41,8.47,2.16
221.495,-3.18,8.51,2.24
221.532,-3.14,9.14,2.63
221.57,-2.94,8.67,1.77
221.607,-2.67,8.83,1.84
221.645,-2.9,9.69,2.28
221.682,-2.86,9.26,2.43
221.72,-2.94,11.02,4.04
221.758,-4.12,12.59,2.04
221.797,-4.51,13.22,2.71
221.835,-2.16,12.55,5.77
222.024,-1.06,8,3.96
222.061,-2.16,6.83,5.3
222.099,-1.88,4.35,4.08
222.136,-3.06,3.06,2.2
222.174,-4.63,5.69,3.57
222.211,-3.53,4.08,1.88
222.249,-4.9,9.85,5.49
222.286,-4.35,11.41,5.73
222.325,-6.43,11.41,2.47
222.44,-1.18,8.94,3.37
222.477,-6.04,13.57,3.88
222.516,-3.1,8,7.41
222.666,-0.24,4.98,2.51
222.703,-3.96,7.61,0.43
222.741,-6.08,2.98,7.26
222.778,-5.3,13.85,6.55
222.817,-5.41,14.2,4.79
222.855,-3.41,13.69,5.37
222.894,-0.55,10.98,13.42
222.933,-2.35,5.77,5.06
222.971,-2.63,6.63,4.08
223.008,-1.84,6.47,3.8
223.046,-2.12,6.59,3.33
223.083,-2.24,5.14,3.33
223.121,-2.16,2.59,1.96
223.158,-6.55,4.39,2.16
223.31,-5.1,10.08,4.94
223.349,-10.16,10.87,2.28
223.389,-5.65,7.18,6.71
223.426,-0.78,4.9,7.49
223.464,-5.14,13.96,9.22
223.502,-9.85,11.18,11.38
223.542,-5.14,6.98,5.49
223.579,-1.45,5.69,0.43
223.617,-2.2,4.39,-0.39
223.655,-2.67,4.79,2.9
223.693,-2.51,7.61,2.82
223.73,-2.82,7.1,-0.63
223.769,-6.98,6.32,-1.37
223.961,-1.84,5.45,5.1
223.999,-2.04,6.04,3.22
224.036,-3.1,6.12,3.57
224.074,-2.28,7.45,4.67
224.111,-3.3,7.14,5.84
224.149,-0.78,3.69,2.98
224.186,-1.73,3.45,0.78
224.224,-5.49,6.98,4.86
224.261,1.8,-8.16,1.53
224.299,-6.75,8.83,2.55
224.336,-3.65,8.24,3.22
224.374,-7.06,10.98,3.73
224.413,-11.73,10.98,3.14
224.602,-4.16,8.36,4.98
224.64,-4.28,6.47,2.2
224.677,-4.12,4.94,0.98
224.715,-4.08,4.63,2.82
224.752,-2.24,6.67,1.33
224.79,-2.86,7.06,0.35
224.827,-5.1,7.57,1.29
224.865,-5.49,10.16,4.08
224.903,-7.41,13.22,4.59
224.942,-7.69,13.57,1.49
224.98,-2.2,12.32,5.3
225.019,-0.47,9.85,16.28
225.057,-3.49,5.65,6.35
225.095,-5.1,7.85,2.51
225.207,-1.65,4.51,8.79
225.245,-0.67,3.88,2.47
225.282,-3.37,5.06,1.96
225.32,-7.26,6.35,2.35
225.357,-7.77,8.12,2.82
225.395,-5.81,9.02,4.28
225.432,-6.32,10.43,5.14
225.471,-7.77,12.43,5.26
225.509,-3.3,8.47,7.96
225.547,-2.82,6.71,6.47
225.584,-1.53,6.55,9.61
225.622,-5.45,13.38,6.86
225.66,-4.39,9.18,6.39
225.698,-2.47,4.59,3.53
225.735,-3.61,4.28,0.12
225.848,-3.02,7.88,1.33
225.885,-4.63,9.26,1.65
225.923,-10.36,11.81,3.96
225.963,-6.47,13.22,4.75
226.001,-4.04,15.89,10.2
226.041,-2.16,8.28,7.37
226.078,-3.96,6.24,1.1
226.116,-2.63,5.45,4.59
226.153,-2,6.04,6.28
226.191,-1.69,7.57,5.45
226.228,-1.77,5.69,3.88
226.266,-2.55,3.3,1.8
226.303,-4.43,4.47,2.16
226.341,-6.75,7.53,4.08
226.453,-5.57,10.2,4.9
226.492,-7.92,10.87,3.77
226.53,-4.12,9.65,7.53
226.568,-1.88,6.59,7.85
226.605,-1.49,8.79,6.9
226.643,-5.65,12.94,9.53
226.681,-2.75,8.51,7.45
226.719,-2.9,5.06,2.71
226.756,-4.2,4.82,0.67
226.794,-3.3,5.26,2.08
226.831,-1.92,6,1.73
226.869,-2.39,6.9,0.39
226.906,-5.49,7.77,0.16
226.944,-5.77,10.43,4.2
226.982,-5.61,14.55,6.75
227.098,-0.39,6.43,8.9
227.135,-2.59,6.2,4.28
227.173,-3.96,5.81,2.82
227.21,-2.51,6.16,4.43
227.248,-2.35,7.92,4.63
227.285,-1.65,5.41,3.45
227.323,-2.82,2.71,1.8
227.36,-5.53,5.45,3.92
227.398,-7.88,6.16,4.39
227.435,-11.22,12.83,-0.94
227.476,-3.69,9.3,4.55
227.514,-7.1,10.79,4.67
227.552,-6.94,11.49,6.71
227.591,-2.63,6.98,9.06
227.628,-0.75,4.9,13.02
227.781,-4.31,4.82,1.14
227.819,-4,4.67,1.57
227.856,-1.49,5.96,1.33
227.894,-2.08,7.81,0.51
227.931,-4.98,8.2,0.51
227.969,-6.39,10,2.98
228.007,-5.22,14.04,7.14
228.046,-6.12,11.69,3.1
228.084,-2.31,11.96,9.85
228.123,-0.67,7.77,10.08
228.161,-2.51,6.08,4.08
228.199,-3.41,5.92,2
228.236,-3.14,5.14,7.53
228.274,-2.63,7.61,5.3
228.386,-6.08,5.77,4.12
228.424,-9.26,8.79,4.35
228.461,-6.28,5.33,6.28
228.499,-3.96,8.87,2.51
228.536,-6.35,9.81,3.84
228.574,-7.92,11.69,4.79
228.613,-1.84,7.61,9.53
228.65,-1.88,7.1,8
228.688,-3.8,11.06,6.71
228.726,-3.77,10.2,7.53
228.765,-2.67,6.32,2.39
228.802,-3.22,5.02,1.69
228.84,-5.1,4.43,1.65
228.877,-3.45,5.3,0.75
228.915,-2.59,7.3,-0.51
229.067,-5.88,13.1,2.31
229.105,-2.75,12.79,8.43
229.144,-1.14,8.32,9.85
229.181,-3.18,6.16,4
229.219,-4.24,5.3,2.59
229.256,-2.16,5.26,3.41
229.294,-1.8,7.26,5.26
229.331,-1.49,5.92,5.45
229.369,-3.26,3.88,2.39
229.406,-4.2,5.02,2.2
229.444,-7.14,7.41,3.41
229.481,-4.71,9.85,3.77
229.672,4.67,6.43,7.49
229.708,-3.06,10.04,6.12
229.747,-5.37,9.53,9.41
229.784,-2.16,6.04,2.55
229.822,-2.94,5.26,1.1
229.859,-4.47,5.1,0.98
229.897,-3.65,5.61,1.61
229.934,-2.67,7.61,0.24
229.972,-5.02,6.67,0.63
230.009,-6.79,8.63,1.84
230.047,-4.47,12.79,4.82
230.085,-6.04,13.42,1.37
230.124,-4.79,11.14,3.69
230.162,-0.27,10.16,14.24
230.352,-4.2,6.67,6.75
230.39,-1.02,4.04,1.18
230.427,-2.16,4.2,3.22
230.465,-3.3,4.98,-0.9
230.503,-5.96,10,6.35
230.542,-2.82,9.81,5.45
230.579,-6.71,8.51,1.61
230.617,-10.16,11.34,2.75
230.656,-1.92,9.45,9.38
230.694,1.02,7.57,7.26
230.73,-2.98,9.38,5.65
230.768,-5.69,11.34,7.34
230.806,-2.31,8.36,5.3
230.956,-1.02,6.55,2.82
230.994,-1.92,8.28,1.26
231.031,-4.94,7.85,1.49
231.069,-5.57,10.32,3.37
231.107,-6.43,13.1,3.61
231.146,-6.04,13.06,2.71
231.184,-3.57,13.3,8.79
231.223,-0.94,7.1,5.81
231.26,-2.35,6.59,4.9
231.298,-3.37,6.47,5.3
231.335,-2.16,7.06,4.55
231.373,-3.41,7.49,4.16
231.41,-2.55,5.88,3.73
231.448,-2.86,3.65,2.24
231.597,-4.39,8.47,4.63
231.634,-5.02,10.24,5.65
231.673,-8.2,11.22,3.37
231.711,-5.22,10.75,6.43
231.75,-1.69,6.67,7.77
231.787,0.43,8.75,7.85
231.824,-3.49,11.06,7.77
231.862,-3.69,10.2,9.49
231.901,-2.67,6.59,2.35
231.939,-4.28,4.71,2.04
231.976,-4.51,4.51,1.22
232.014,0.08,5.57,0.9
232.05,-2.12,7.53,0.51
232.087,-3.96,7.96,0.78
232.24,-5.3,11.34,2.9
232.278,0,12.24,15.22
232.317,-0.75,4.75,6.71
232.354,-3.65,5.61,2.79
232.392,-3.18,5.61,2.59
232.429,-2.63,7.61,4.9
232.467,-1.45,7.18,5.37
232.504,-0.39,2.98,3.37
232.542,-3.92,4.51,3.61
232.579,-4.86,9.61,-1.06
232.618,-6.86,8.59,4.67
232.655,-4.79,8.79,3.37
232.693,-5.69,9.81,2.67
232.73,-7.96,11.34,4.43
232.769,-3.53,8.87,10.32
232.882,-4.28,11.41,7.61
232.921,-4.2,7.26,3.96
232.958,-4.24,6.24,1.65
232.996,-4.39,5.49,1.92
233.033,-2.39,5.73,1.49
233.071,-2.35,6.9,-0.12
233.109,-3.14,7.34,-0.86
233.148,-5.3,8.59,1.18
233.185,-6.35,13.65,7.73
233.224,-6.12,13.96,4.9
233.262,-4.31,13.1,3.92
233.301,-1.26,10.63,10.51
233.341,-3.22,5.1,4.94
233.378,-4.82,5.53,3.88
233.491,-2.08,6.94,4.79
233.528,-2.28,3.84,2
233.566,-3.3,4.43,2.67
233.603,-3.02,4.94,-0.86
233.642,-6.98,8.39,5.61
233.679,-4.24,9.38,4.82
233.717,-5.92,9.81,3.92
233.754,-8.51,11.65,3.65
233.793,-2.24,9.18,10.55
233.831,0,7.81,7.69
233.868,-2.12,9.3,4.63
233.905,-4.71,9.77,7.26
233.943,-4.71,6.86,5.3
233.98,-3.96,5.81,1.49
234.018,-4.35,5.06,1.77
234.055,-3.1,5.37,1.92
234.205,-6.39,12,5.3
234.244,-5.92,14.71,4.79
234.282,-4.47,12.75,4.86
234.321,-1.92,10.71,10.75
234.36,-2.24,6.2,4.86
234.398,-4.04,5.61,2.98
234.435,-3.49,5.57,4.08
234.473,-2.47,8.28,3.3
234.51,-1.33,6.94,4.35
234.548,-2.63,3.92,1.92
234.585,-4.55,4.16,2.55
234.623,-6.08,7.26,3.45
234.66,-3.84,10,4.39
234.775,-8.55,11.22,4.86
234.814,-2.55,7.02,9.69
234.851,0.94,7.06,8.71
234.887,-4.08,11.49,7.45
234.926,-5.33,9.69,8.67
234.963,-3.53,6.9,3.02
235.001,-2.82,5.3,0.86
235.038,-4.2,4.9,1.49
235.076,-2,5.37,1.92
235.113,-1.88,6.63,0.55
235.151,-3.53,8.2,0.59
235.188,-6.75,9.73,2.28
235.226,-5.3,14.47,4.71
235.265,-5.61,12.87,2.35
235.303,-2.43,12.59,9.02
235.342,-0.78,6.94,9.26
235.379,-2.47,6.32,5.22
235.417,-3.96,6,3.06
235.454,-2.63,5.84,3.45
235.492,-3.57,7.3,4.98
235.529,-2.24,5.81,4.67
235.567,-2.79,3.8,1.92
235.604,-3.33,5.1,2.71
235.642,-2.08,-0.63,3.06
235.68,-4.86,9.65,5.22
235.718,-4.98,9.3,3.8
235.755,-7.22,9.57,4.35
235.793,-9.34,10.79,13.73
235.832,-7.77,7.49,15.81
235.871,2.08,8.47,6.79
235.907,-5.02,11.26,8.67
235.946,-1.69,8.51,7.85
236.058,-4.35,4.82,1.73
236.096,-1.1,6.32,2.63
236.133,-2.16,7.57,-0.63
236.172,-6.32,8.75,0
236.209,-7.22,9.89,4.43
236.247,-4.9,14.83,6.43
