"NAME:","walk_3.csv"
"EXPERIMENT TIME:","25/05/2022 12:00"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS","103"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"311.18","-8.55","2.90","3.02"
"311.29","-7.92","2.20","3.49"
"311.39","-19.06","-2.79","1.33"
"311.49","-2.59","0.55","-0.59"
"311.59","-10.67","-3.49","0.71"
"311.70","-10.12","1.14","-1.77"
"311.80","-9.57","0.75","-0.24"
"311.90","-9.34","0.47","0.35"
"312.00","-10.20","-0.59","-0.98"
"312.11","-10.75","0.90","-0.75"
"312.21","-16.99","-3.14","4.47"
"312.32","-10.47","3.53","1.02"
"312.42","-7.02","0.16","0.86"
"312.52","-4.28","1.22","2.08"
"312.62","-13.89","1.77","3.92"
"312.72","-8.12","2.67","3.69"
"312.82","-6.86","-1.26","0.75"
"312.92","-11.45","-1.02","-0.24"
"313.03","-8.71","-0.20","-0.90"
"313.13","-8.59","2.39","-0.47"
"313.23","-9.81","1.57","-0.67"
"313.34","-11.14","-0.20","0.00"
"313.44","-16.08","-3.69","3.77"
"313.55","-10.08","2.98","0.90"
"313.65","-6.20","0.04","1.37"
"313.75","-5.41","0.20","3.02"
"313.85","-15.85","1.77","3.65"
"313.95","-11.26","0.27","4.67"
"314.05","-6.94","-2.31","-0.55"
"314.16","-10.32","-1.84","-0.43"
"314.26","-9.81","0.98","-1.53"
"314.36","-9.22","2.86","0.59"
"314.46","-11.02","0.12","-0.20"
"314.57","-10.94","-0.67","-2.79"
"314.67","-13.96","-4.51","2.43"
"314.78","-8.59","3.77","0.00"
"314.88","-5.06","0.71","1.37"
"314.98","-6.28","1.88","2.51"
"315.08","-11.65","3.92","4.04"
"315.18","-18.36","-5.96","-2.08"
"315.29","-7.61","1.49","-1.33"
"315.39","-8.55","-1.26","-0.47"
"315.49","-9.02","1.69","-0.51"
"315.60","-9.41","-0.27","-0.39"
"315.70","-10.51","0.27","0.86"
"315.80","-10.04","-2.43","-1.73"
"315.91","-11.96","0.08","0.98"
"316.01","-7.18","2.04","1.26"
"316.11","-5.33","0.27","2.39"
"316.21","-10.94","0.63","2.75"
"316.31","-6.28","5.18","4.08"
"316.41","-7.65","-0.75","-0.20"
"316.52","-12.28","-0.47","-0.82"
"316.62","-8.55","-0.24","-1.41"
"316.73","-8.90","2.98","-0.12"
"316.83","-11.30","0.90","-0.08"
"316.93","-11.45","-0.27","-1.14"
"317.04","-15.57","-4.55","2.51"
"317.14","-7.88","2.00","2.59"
"317.24","-6.12","1.02","1.37"
"317.34","-5.61","1.61","2.98"
"317.44","-14.04","2.51","4.39"
"317.55","-17.57","-2.43","-0.27"
"317.65","-9.26","-0.51","-0.98"
"317.76","-8.04","-0.78","-0.51"
"317.86","-9.41","1.14","-0.47"
"317.96","-10.04","1.14","-0.35"
"318.07","-10.71","-0.24","0.04"
"318.17","-9.38","-1.37","-1.37"
"318.27","-11.69","0.20","1.61"
"318.38","-6.94","1.57","1.10"
"318.48","-5.10","0.75","2.59"
"318.58","-13.69","0.90","3.37"
"318.68","-9.14","3.22","4.31"
"318.78","-9.26","-2.79","-0.55"
"318.88","-10.75","-0.90","-0.35"
"318.99","-9.45","0.51","-0.94"
"319.09","-8.63","2.55","0.12"
"319.19","-11.02","1.18","-0.08"
